user_id,date,bedtime,wake_up_time,sleep_duration_min,deep_duration_min,light_duration_min,rem_duration_min,awake_duration_min,quality,screen_time_minutes
dcaac0,2026-02-21,1771624680,1771655580,503,168,203,132,12,87,331
dcaac0,2026-02-22,1771710180,1771747260,521,135,260,126,97,69,439
dcaac0,2026-02-23,1771801200,1771826880,417,120,220,77,11,71,370
dcaac0,2026-02-24,1771887300,1771921380,537,109,345,83,31,68,334
dcaac0,2026-02-25,1771979580,1772008740,455,154,187,114,31,68,261
dcaac0,2026-02-26,1772064840,1772087280,436,103,200,71,0,76,184
dcaac0,2026-02-27,1772141280,1772167260,430,128,243,59,3,80,367
dcaac0,2026-02-28,1772230080,1772260260,485,126,284,75,18,78,374
dcaac0,2026-03-01,1772316840,1772347200,506,128,241,137,0,91,130
dcaac0,2026-03-02,1772400600,1772430840,491,166,212,113,13,89,167
dcaac0,2026-03-03,1772447100,1772519100,480,123,207,156,0,40,258
dcaac0,2026-03-04,1772572440,1772600820,473,122,251,100,0,92,232
dcaac0,2026-03-05,1772659560,1772690640,501,146,235,120,17,85,243
dcaac0,2026-03-06,1772747520,1772776440,442,142,181,119,40,79,166
dcaac0,2026-03-07,1772836140,1772855940,415,112,148,70,0,79,215
dcaac0,2026-03-08,1772922360,1772944440,368,94,209,65,0,81,204
dcaac0,2026-03-09,1773005460,1773036240,501,200,235,66,12,87,573
dcaac0,2026-03-10,1773094800,1773124800,493,184,236,73,7,80,339
dcaac0,2026-03-11,1773184860,1773210960,404,106,188,110,31,67,241
dcaac0,2026-03-12,1773266220,1773297900,516,124,325,67,12,76,422
dcaac0,2026-03-13,1773283560,1773392100,355,99,181,75,14,66,300
dcaac0,2026-03-14,1773439620,1773473640,567,116,356,95,0,72,282
dcaac0,2026-03-15,1773530640,1773561240,486,192,222,72,24,77,188
dcaac0,2026-03-16,1773614460,1773641160,414,165,192,57,31,69,239
dcaac0,2026-03-17,1773701160,1773729660,472,181,230,61,3,88,270
dcaac0,2026-03-18,1773784500,1773816900,540,154,341,45,1,85,195
dcaac0,2026-03-19,1773874500,1773905700,520,214,281,25,21,86,243
dcaac0,2026-03-20,1773960060,1773993240,513,148,344,21,0,86,241
dcaac0,2026-03-21,1774046760,1774081260,575,168,297,110,1,81,255
dcaac0,2026-03-22,1774127220,1774164300,618,178,286,154,5,69,230
dcaac0,2026-03-23,1774218240,1774250640,540,123,388,29,6,74,222
dcaac0,2026-03-24,1774302060,1774332660,510,102,343,65,5,73,293
dcaac0,2026-03-25,1774392360,1774423380,517,159,271,87,12,68,303
dcaac0,2026-03-26,1774478820,1774505940,452,214,179,59,2,69,341
